CloudletID,Status,VM,Start Time,Finish Time,Exec Time,Energy Consumption
43,SUCCESS,10,0.01,3.41,3.40,0.85
14,SUCCESS,2,0.01,5.01,5.00,1.25
46,SUCCESS,5,0.01,6.49,6.48,1.62
0,SUCCESS,12,0.01,6.52,6.51,1.63
27,SUCCESS,15,0.01,6.97,6.96,1.74
15,SUCCESS,1,0.01,7.46,7.45,1.86
20,SUCCESS,0,0.01,8.05,8.04,2.01
32,SUCCESS,0,0.01,8.20,8.19,2.05
33,SUCCESS,14,0.01,8.20,8.19,2.05
2,SUCCESS,2,0.01,8.73,8.72,2.18
36,SUCCESS,9,0.01,11.12,11.11,2.78
47,SUCCESS,14,0.01,11.45,11.44,2.86
34,SUCCESS,16,0.01,11.61,11.60,2.90
6,SUCCESS,4,0.01,13.77,13.76,3.44
10,SUCCESS,5,0.01,13.87,13.86,3.46
4,SUCCESS,4,0.01,16.31,16.30,4.07
44,SUCCESS,15,0.01,16.97,16.96,4.24
22,SUCCESS,16,0.01,19.13,19.12,4.78
12,SUCCESS,15,0.01,19.56,19.55,4.89
35,SUCCESS,4,0.01,19.83,19.82,4.95
40,SUCCESS,8,0.01,20.19,20.18,5.04
37,SUCCESS,16,0.01,21.63,21.62,5.41
26,SUCCESS,6,0.01,21.66,21.65,5.41
28,SUCCESS,6,0.01,22.20,22.19,5.55
41,SUCCESS,8,0.01,26.34,26.33,6.58
24,SUCCESS,8,0.01,29.69,29.68,7.42
